id	name	prereq	subseq	type	alias	description
708	Gaet Stall Pimp	Gaet Pimp		Beam/Flip		A stalled Gaet Pimp. This was first landed by Shawn Bautista of Dodo Freerunning in 2015.
709	Drop Kumquat	Kumquat		Bar/Flip	Drop Ping	Kumquat executed from standing and then dropping into the move. This was first landed by Jesse Peveril in 2015.
710	Kumquat One and a Half Full	Kumquat Full	Kumquat Double Full	Bar/Flip/Twist	Ping One and a Half Full	A one and a half twisting Kumquat. This was first landed by Jesse LaFlair in 2015.
711	Kumquat Double Full	Kumquat One and a Half Full		Bar/Flip/Twist	Ping Double Full	A double full twisting Kumquat.
712	Gainer Full-In Back-Out	Double Gainer, Gainer Full		Flip/Twist		Gainer Full into a back tuck.
713	Touchdown Raiz-In Back-Out	Touchdown Raiz		Flip		Touchdown Raiz into a back tuck.
714	One-Hand Toe Shoot Front	Toe Shoot Front		Bar/Flip		Toe Shoot Front using one hand.
715	Flyaway Rodeo	Flyaway		Bar/Flip	Swing Gainer Rodeo, Bar Gainer Rodeo	Flyaway while grabbing both ankles.
716	Wall Arabian Dive Roll	Wall Arabian	Wall Flip 540 Dive Roll	Wall/Flip/Roll/Twist		An under-rotated Wall Arabian to Dive Roll.
717	One-Step Punch Wall Flip	Punch Wall Flip		Wall/Flip		One step up a wall into a Punch Wall Flip.
718	Castaway Punch Wall Full	Castaway Punch Wall Flip		Bar/Flip		A full twisting Castaway Punch Wall Flip.
719	Chair Spin Gainer Full-Down	Chair Spin Gainer		Pole/Flip/Twist		Chair Spin Gainer into a full twist after the flip. This was first attempted by Pasha Katsuba in 2015.
720	Flyaway X-Out Full-Down	Flyaway X-Out		Bar/Flip/Twist		Flyaway X-Out into a full twist after the flip.
721	Wall Inward Side Wall Dive Roll	Wall Inward Side		Wall/Flip/Roll		An under-rotated Wall Inward Side into a Wall Dive Roll.
722	Gainer One-Hand Down Monkey	Gainer Down Monkey	Gainer One-Hand Down Monkey Full	Wall/Flip		Gainer set off a ledge into a One-Hand Down Monkey.
723	Wall Inward Side Walkdown	Wall Inward Side		Wall/Flip		An under-rotated Wall Inward Side where the inside leg kicks off the wall before landing.
724	Flyaway X-Out	Flyaway	Flyaway X-Out Full-Down	Bar/Flip		Flyaway where both legs kick out to the sides before tucking.
725	One-Step Palm Flip Down Monkey	One-Step Palm Flip		Wall/Flip		One-Step Palm Flip opened early into a Down Monkey. This was first landed by Denis Pichugov in 2015.
726	Devil Drop Stall Side	Devil Drop Side		Wall/Flip		A stalled Devil Drop Side.
727	Gainer Down Monkey	Gainer	Gainer One-Hand Down Monkey	Wall/Flip		Gainer Layout set off a ledge into a Down Monkey.
728	Wall Layout One-Hand Down Monkey	Wall Layout Down Monkey	Wall Layout One-Hand Down Monkey Full	Wall/Flip		Wall Layout into a One-Hand Down Monkey.
729	Wall Layout One-Hand Down Monkey Full	Wall Layout One-Hand Down Monkey		Wall/Flip/Twist		A full twisting Wall Layout One-Hand Down Monkey. This was first attempted by Alfred Scott in 2014.
730	One-Step Wall Roll Half	Wall Roll Half		Wall		One step up a wall into half-twisting Wall Roll.
731	One-Step Wall Spin Frisbee Full-Down		One-Step Wall Spin Frisbee	Wall/Flip/Twist		One-Step Wall Spin Frisbee into a full twist after the flip.
732	One-Step Wall Spin Frisbee	One-Step Wall Spin	One-Step Wall Spin Frisbee Full-Down	Wall/Flip		One-Step Wall Spin set into a Frisbee.
733	Toe Shoot 360 Dive Roll	Toe Shoot Dive Roll		Bar/Flip/Twist/Roll		A full twisting Toe Shoot Dive Roll. This was first landed by Michael Isaev in 2015.
734	Dyno 360	Dyno		Wall/Twist		A full twisting Dyno. This was first landed by Erik Mukhametshin in 2015.
735	Sitting Turn Gaet Pimp	Turn Gaet Pimp		Beam/Flip		Turn Gaet Pimp set from sitting position.
736	EW Stall Gainer	EW Gainer		Wall/Flip	Eugene Wall Stall Gainer, Erik Wall Stall Gainer	A stalled EW Gainer.
737	Punch Wall Stall Gainer	Punch Wall Gainer		Wall/Flip		A stalled Punch Wall Gainer.
738	One-Hand Palm Flip	Palm Flip	Dive One-Hand Palm Flip	Wall/Flip		Palm Flip using just one hand.
739	Parallel Bar Gainer Dismount		Parallel Bar Gainer Full Dismount	Parallel Bar/Flip		A swing set on parallel bars from support position into a Gainer dismount.
740	Pistol Back Flip	Back Layout	Pistol Back Full	Flip		Back Layout set off a ledge from a Pistol Squat position.
741	Pistol Back Full	Pistol Back Flip		Flip/Twist		A full twisting Pistol Back Flip.
742	Tsukahara Arabian Vault	Tsukahara Vault	Tsukahara Double Arabian Vault	Vault/Flip/Twist		Tsukahara set off a vault into Arabian.
743	Two-Step Wall Double Back	Two-Step Wall Flip	Two-Step Wall Full-In Back-Out	Wall/Flip		A double rotating Two-Step Wall Flip. This was first landed by Levi Meeuwenberg in 2007.
744	Kong Gainer Double Full	Kong Gainer Full		Vault/Flip/Twist	Cat Pass Gainer Double Full	A double twisting Kong Gainer.
745	Reverse Bomb	Reverse Vault		Vault/Flip		Reverse Vault set into a front tuck.
746	Punch Wall Inward Double Front	Punch Wall Inward Front		Wall/Flip		Punch set on a wall into an inward double front tuck.
747	Shoulder Vault Twist Dive Roll	Shoulder Vault 360		Vault/Flip/Twist	Trident Dive	An over-rotated Shoulder Vault into a 3/4 twisting dive roll. This was first landed by Christian Russell in 2015.
748	Roll Bomb 360 Dive Roll	Roll Bomb		Roll/Flip/Twist	Roll Bomb Vortex	An under-rotated Roll Bomb set into a 360 Dive Roll. This was first landed by Markus Karlsson in 2015.
749	Roll Bomb Full	Roll Bomb		Roll/Flip/Twist		A full twisting Roll Bomb. This was first landed by Markus Karlsson in 2015.
750	One-Step Two-Hand Palm Inward Aerial Twist Double Leg Twist	One-Step Two-Hand Palm Inward Aerial Twist Double Leg		Wall/Flip/Twist		One-Step Two-Hand Palm Inward Aerial Twist Double Leg into a full twist. This was first attempted by Adry Cemel in 2014.
751	Devil Drop Gainer Pike	Devil Drop Gainer		Wall/Flip		A piked Devil Drop Gainer.
752	Devil Drop Gainer Stall	Devil Drop Gainer		Wall/Flip		A stalled Devil Drop Gainer.
753	Lazy Boy Gainer Full	Gainer Full		Flip/Twist		Gainer Full variation with both hands behind the head.
754	Wall Flip Walkdown	Wall Flash Kick		Wall/Flip	Wall Flip Stepdown	Wall Flash Kick followed by a step off a parallel wall.
755	Back Full-In Back-Out	Back Layout-In Back-Out		Flip/Twist		Back Full into a back tuck.
756	Back Layout-In Back-Out	Back Layout, Double Back Flip	Back Full-In Back-Out	Flip		Back Layout into a back tuck.
757	Gaet Pimp Wall Flip	Gaet Pimp	Gaet Pimp Wall Wrap Full	Beam/Wall/Flip		Gaet Pimp set into a Wall Flip.
758	Gaet Pimp Wall Wrap Full	Gaet Pimp Wall Flip		Beam/Wall/Flip/Twist		Gaet Pimp set into one step off a wall into Wrap Full.
759	Wall Flip Switch	Wall Flip		Wall/Flip		Wall Flip where the wall step leg kicks pass the non-step leg during the flip. The non-step leg then lags behind allowing the step leg to land first setting up for swingthru with the non-step leg.
760	Straddle Palm Flip	Palm Flip	One-Step Straddle Palm Flip, Straddle Palm Full	Wall/Flip		Palm Flip with both legs straddled to the sides during the flip.
761	Flyaway Walkdown	Flyaway		Bar/Flip		Flyaway where one of the legs kicks off the bar before landing.
762	Lazy Boy Gainer	Stall Gainer		Flip		Stall Gainer variation with both hands behind the head.
763	Kong Rebound	Kong Vault		Vault/Wall	Cat Pass Rebound	Kong Vault to a Punch off a wall reversing the travel direction. As you travel back over the vault, push off the vault with both hands.
764	Backward Roll		Back Roll Half Down, Backward Roll Bomb, Backward Roll Down Monkey	Roll		A roll rotating backwards.
765	Butterfly Kick		Butterfly Twist, Butterfly Vault, Frisbee, Helicoptero			A jumping kick where the torso dips in the shape of the letter U. As the torso dips, the body turns 180 degrees, delineating the first half of the U. After this turn, the torso rises and the outside leg (leg opposite to the turn direction) arches up and kicks into the turn direction as the other leg jumps, completing the last half of the U.
766	Butterfly Twist	Butterfly Kick	Palm Butterfly Twist	Twist		A full twisting Butterfly Kick.
767	Back Handspring		Back Cat, Down Monkey, Macaco	Flip		A backwards jump set into a partial rotation onto both hands. Once both hands reach the ground, they push off and both legs kick over returning the body upright.
768	One-Hand Raiz	Gumbi	One-Hand Raiz Twist, Wall One-Hand Raiz	Flip	Sailor Moon	Raiz using the inside hand (hand on the side of the dipping shoulder) to push off the ground.
769	Corkscrew	Slant Gainer	Corkscrew-In Back-Out, Double Corkscrew, Knee Corkscrew, Kroc, Wall Corkscrew	Flip/Twist		A full twisting Cheat Gainer.
770	Tunnel Stall	Tunnel Flip		Flip	Side Gainer Stall	A stalled Tunnel Flip
771	Inward Front Pike	Inward Front		Flip		A piked Inward Front.
772	Skin the Catch		Skin the Catch 180, Skin the Catch In Back-Out	Bar/Flip	Shrimp Flip	From dead hang position on a high bar, pike both legs and pull them between the  arms (Skin the Cat), initiating a backwards rotation. As the toes pass through the arms, both legs shoot up and back, straightening out both. Simultaneously, both hands release the bar, and reach behind the head to regrab.
773	Skin the Catch 180	Skin the Catch		Bar/Flip/Twist	Shrimp Flip 180	A half twisting Skin the Catch.
774	Reverse Lache		Reverse Lache Two-Foot Wall Front	Bar		A backwards traveling Lache.
775	Running Gainer-In Full-Out	Running Double Gainer		Flip/Twist		Running Double Gainer with a full twist during the second rotation.
776	Inward Dive Roll Bomb	Inward Dive Roll		Roll/Flip		An Inward Dive Roll off a ledge into a front tuck.
777	Front Half Dismount Catch	Front Half		Bar/Flip/Twist	Barani Dismount Catch	Front Half off a bar to catch on the same bar.
778	Running Gainer Full	Running Gainer	Running Gainer Full Down Monkey	Flip/Twist		A full twisting Running Gainer.
779	Sideway Wall Flip	Wall Flip	Sideway Wall Double Back	Flip	Bio Wall Flip, Caster Wall Flip, Lateral Wall Flip, Strafe Wall Flip 	A sideways traveling Wall Flip.
780	Sideway Wall Double Back	Sideway Wall Flip		Wall/Flip	Wall Bio Double Back, Wall Caster Double Back, Wall Lateral Double Back, Wall Strafe Double Back	A double rotating Sideway Wall Flip
781	Double Leg		Double Leg Twist, Wall Inward Double Leg	Flip		Punch set into a side rotation with both legs together perpendicular to the torso during the flip.
782	Double Leg Twist	Double Leg	Palm Double Leg Twist	Flip/Twist		A full twisting Double Leg.
783	Front Handspring		Inward Down Monkey, Raiden, Rail Front Handspring	Flip		A forward lunge onto both hands set into a forward rotation. Once both hands reach the ground, they push off and both legs kick over returning the body upright.
784	Straddle Sole Circle	Sole Circle	Straddle Sole Circle Gainer, Straddle Sole Circle Inward Front	Bar	Straddle Toe-On	A straddled Sole Circle.
785	Webster Half	Webster Front	Webster Full	Flip/Twist	Webster 180	A half twisting Webster Front.
786	Webster Full	Webster Half	Webster One and a Half Full	Flip/Twist	Webster 360	A full twisting Webster.
787	Hang Castaway Stall Back	Hang Castaway Back		Wall/Flip		A stalled Hang Castaway Back. This was first landed by Shawn Bautista of Dodo Freerunning in 2015.
788	Swing Castaway X-Out Full-Down	Swing Castaway X-Out		Bar/Flip/Twist	Back Uprise Straddle Full-Down	Swing Castaway X-Out into a full twist after the flip. This was first attempted by Moses Jackson in 2015.
789	Hang Toe Shoot Side	Toe Shoot Side		Wall/Flip		Toe Shoot Side set from Hang position.
790	Hang Castaway Double Back	Hang Castaway Back		Wall/Flip		A double rotating Hang Castaway Back.
791	Inward Flyaway Double Side	Inward Flyaway Side		Bar/Flip		A double rotating Inward Flyaway Side.
792	Side Full-In Back-Out	Side Full		Flip/Twist		Side Full into a back tuck.
793	Human Flag Gainer	Human Flag	Human Flag Gainer Half-Down	Pole/Flip		Gainer set from Human Flag.
794	Human Flag Gainer Half-Down	Human Flag Gainer		Pole/Flip/Twist		Human Flag Gainer followed by a half twist after the flip. This was first landed by Alexey Kruk in 2015.
795	Straddle Sole Circle Stall Gainer	Straddle Sole Circle Gainer		Bar/Flip		A stalled Straddle Sole Circle Gainer. This was first attempted by Alexey Kruk in 2015.
796	Straddle Sole Circle Gainer Layout	Straddle Sole Circle Gainer		Bar/Flip		A laid out Straddle Sole Circle Gainer. This was first attempted by Alexey Kruk in 2015.
797	Corner Wall Arabian	Wall Arabian	Corner Wall Arabian Pike	Wall/Flip/Twist		Two steps up the inside corner of two intersecting walls into an Arabian.
798	Corner Wall Arabian Pike	Corner Wall Arabian	Corner Wall Arabian Pike Half-Down	Wall/Flip/Twist		A piked Corner Wall Arabian.
799	Corner Wall Arabian Pike Half-Down	Corner Wall Arabian Pike		Wall/Flip/Twist		Corner Wall Arabian Pike followed by a half twist after the flip. This was first landed by Nick Provost in 2015.
800	Straddle Sole Circle Gainer Full	Straddle Sole Circle Gainer		Bar/Flip/Twist		A full twisting Straddle Sole Circle Gainer. This was first attempted by Alexey Kruk in 2015.
801	One-Hand Hang Castaway Back	Hang Castaway Back		Wall/Flip		Hang Castaway Back using one hand.
802	Cast Side			Bar/Flip		A cast into a side tuck over the bar.
803	EW Gainer Arabian	EW Gainer		Wall/Flip/Twist	Eugene Wall Gainer Arabian, Erik Wall Gainer Arabian	A half twisting EW Gainer into a front tuck. This was first landed by Zezo Zoromba of Dodo Freerunning in 2015.
804	Angel Drop Down Monkey	Angel Drop, Dive Down Monkey		Wall/Flip		An Angel Drop set into Down Monkey off a parallel wall. This was first landed by Bart van der Linden in 2015.
805	Front Pike	Front Flip		Flip		A piked Front Flip.
806	Touchdown Frisbee	Frisbee	Touchdown Double Frisbee	Flip		Frisbee set by touching down off a ledge.
807	Touchdown Double Frisbee	Touchdown Frisbee		Flip		A double rotating Touchdown Frisbee.
808	Trapdoor Palm Gainer	Palm Gainer	Trapdoor Palm Gainer Full	Wall/Flip		Palm Gainer set by jumping over a gap to a wall, and then pushing off the wall into a Gainer and landing in the gap below.
809	Trapdoor Palm Gainer Full	Trapdoor Palm Gainer		Wall/Flip/Twist		A full twisting Trapdoor Palm Gainer.
810	Dive Gumbi	Gumbi				A dive into Gumbi.
811	Kick 540 Dive Roll	540 Dive Roll		Roll/Twist		A delayed set followed by a kick into 540 Dive Roll. This was first landed by Aaron Hakala in 2014.
812	540 Dive Back Handspring	360 Dive Handstand		Flip/Twist		A one and a half full twisting dive to both hands. This was first landed by Aaron Hakala in 2013.
813	Single Ankle Rudi	Single Ankle Front		Flip/Twist	Pop Top 540	A one and a half twisting Single Ankle Front.
814	Pendulum	Tunnel Flip	Pendulum Full-Down	Beam/Flip		A side tuck set off a ledge using both hands for support, similar to Gargoyle position, while also swinging both legs together. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
815	Gumbi	Cartwheel	Dive Gumbi, One-Hand Raiz, Touchdown Raiz			An inverted Cartwheel.
816	Touchdown Raiz	Gumbi	One-Step Touchdown Raiz Twist Vault, Touchdown Raiz-In Back-Out	Flip		Gumbi using only the outside hand (hand on the opposite side of the dipping shoulder) to push off the ground.
817	Swing Castaway Flash Kick	Swing Castaway Back		Bar/Flip		A swing castaway set into Flash Kick. This was first landed by Alexander Bilionis in 2015.
818	Swing Castaway Punch Layout	Swing Castaway Back		Bar/Flip		A swing castaway set into Punch layout off the bar. This was first landed by  Dimitris Dk' Kyrsanidis of Team Focus in 2015.
819	Wall Arabian Inward Down Monkey Half	Wall Arabian Inward Down Monkey		Wall/Flip/Twist		Wall Arabian opened early into Inward Down Monkey Half. This was first landed by Kirya Kolesnikov of team Air Style in 2015.
820	Lache Front	Lache	Lache Front Half, Lache Stall Front	Bar/Flip		Lache set into front tuck.
821	Lache Stall Front	Lache Front		Bar/Flip		A stalled Lache Front. This was first landed by Kirya Kolesnikov of team Air Style in 2015.
822	Two-Step Wall Stall Gainer	Two-Step Wall Gainer		Wall/Flip		A stalled Two-Step Wall Gainer. This was first landed by Vlas Vladimirov in 2014.
823	Webster Precision	Webster Front		Beam/Flip	Loser Precision	Webster landing to a precision landing.
824	Devil Drop EW Gainer	EW Gainer		Wall/Flip		Devil Drop set into EW Gainer. This was first landed by Erik Mukhametshin in 2013.
825	Inward Front Catch	Inward Front		Bar/Flip		An Inward Front to bar catch. This was first landed by Kirya Kolesnikov of team Air Style in 2015.
826	Tic Tac Side	Side Flip, Tic Tac	Tic Tac Side Full	Wall/Flip		Tic Tac into a side tuck.
827	Tic Tac Side Full	Tic Tac Side	Tic Tac Side Double Full	Wall/Flip/Twist		A full twisting Tic Tac Side.
828	Tic Tac Side Double Full	Tic Tac Side Full		Wall/Flip/Twist		A double full twisting Tic Tac Side.
829	Wall Rocketboi	Wall Flip		Wall/Flip		One step up a wall into Rocketboi. This was first landed by Cory DeMeyers in 2013.
830	Running Gainer Pike	Running Gainer		Flip		A piked Running Gainer.
831	Peter Pan Running Gainer Layout	Running Gainer Layout		Flip		Running Gainer Layout with both hands on at the hips during the flip.
832	Gainer One-Hand Down Monkey Full	Gainer One-Hand Down Monkey		Wall/Flip/Twist		A full twisting Gainer One-Hand Down Monkey. This was first landed by Didi Alaoui in 2016.
833	Flyaway Double Full-Down	Flyaway Full-Down		Bar/Flip/Twist		Flyaway into a double full twist after the flip. This was first attempted by Pasha Katsuba in 2016.
834	Straddle Sole Circle Inward Front	Straddle Sole Circle		Bar/Flip		Straddle Sole Circle into Inward Front. This was first attempted by Pasha Katsuba in 2016.
835	Toe Shoot Front Layout	Toe Shoot Front		Bar/Flip		A laid out Toe Shoot Front. This was first landed by Erik Mukhametshin in 2015.
836	Wall Gainer Down Monkey Half-Down	Wall Gainer Down Monkey		Wall/Flip/Twist	Two-Hand Dragonfly Half-Down	Wall Gainer Down Monkey into a half twist after the flip. This was first landed by Waldi Müller in 2015.
837	Lache Punch Wall Inward Front Half	Lache Punch Wall Inward Front	Lache Punch Wall Inward Front Full	Bar/Wall/Flip/Twist		A half twisting Lache Punch Wall Inward Front.
838	Lache Punch Wall Inward Front Full	Lache Punch Wall Inward Front Half		Bar/Wall/Flip/Twist		A full twisting Lache Punch Wall Inward Front.
839	Lache Punch Wall Inward Front Layout	Lache Punch Wall Inward Front		Bar/Wall/Flip		A laid out Lache Punch Wall Inward Front.
840	Flyaway 180 Tic Tac Regrab	Flyaway		Bar/Wall/Flip		Flyaway to a wall followed by a 180 Tic Tac to regrabbing the same bar. This was first landed by Erik Mukhametshin in 2016.
841	Flyaway Punch Wall Layout	Flyaway		Bar/Wall/Flip		Flyaway to a wall followed by a punch set off the wall into a Back Layout. This was first landed by Erik Mukhametshin in 2016.
842	Swing Castaway Side	Castaway Side	Swing Castaway Side Full, Swing Castaway Side Half-Down	Bar/Flip		A backwards swing into a castaway set into a side tuck.
843	Swing Castaway Side Half-Down	Swing Castaway Side		Bar/Flip/Twist		Swing Castaway Side into a half twist after the flip. This was first attempted by Alfred Scott of Dodo Freerunning in 2014.
844	Swing Castaway Side Full	Swing Castaway Side		Bar/Flip/Twist		A full twisting Swing Castaway Side. This was first attempted by Alfred Scott of Dodo Freerunning in 2014.
845	Devil Drop Castaway Inward Front	Castaway Inward Front, Devil Drop		Bar/Flip		Devil Drop set into a Castaway Inward Front. This was first landed by Alfred Scott of Dodo Freerunning in 2014.
846	Kash Roll	Dash Roll		Vault/Roll		Kash Vault into a roll.
847	270 Tic Tac Wall Flip	Wall Flip		Wall/Flip		A three-quarter dive twist into Down Monkey.
848	Reverse Underbar		Dive Reverse Underbar, Reverse Underbar 180, Reverse Underbar Inward Flyaway Half	Bar/Twist		A half twisting dive to Reverse Underbar.
849	Reverse Underbar 180	Reverse Underbar		Bar/Twist	360 Underbar	A 180 Dive Reverse Underbar followed by a half turn.
850	Wall Arabian Inward Down Monkey	Wall Arabian	Wall Arabian Inward Down Monkey Half	Wall/Flip/Twist		Wall Arabian opened early into Inward Down Monkey.
851	Parallel Bar Pimp Dismount	Pimp Flip	Parallel Bar Pimp Full-Down Dismount	Parallel Bar/Flip/Twist		A swing set on parallel bars from support position towards the corner of one of the bars into a Pimp Flip dismount.
852	Parallel Bar Pimp Full-Down Dismount	Parallel Bar Pimp Dismount		Parallel Bar/Flip/Twist		Parallel Bar Pimp Dismount into a full twist after the flip. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
853	Russian Front One and a Half Dive Roll	Russian Front Flip		Flip/Roll		Russian Front Flip with one and a half degree rotation to Dive Roll.
854	Turn Gaet Pimp Wall Wrap Full	Turn Gaet Pimp Wall Full		Beam/Wall/Flip/Twist		Turn Gaet Pimp set into one step off a wall into Wrap Full.
855	Two-Step Wall Macaco	Wall Macaco		Wall/Flip	Two-Step Wall Valdez	Two steps up a wall set into a Macaco off the same wall.
856	Wall Macaco	Wall Layout	Two-Step Wall Macaco	Wall/Flip	Wall Valdez	Wall Layout set into a Macaco off the same wall.
857	Two-Step Wall Stall Back	Two-Step Wall Flip		Wall/Flip		Two steps up a wall set into a stalled back tuck.
858	Wall Arabian Layout	Wall Arabian		Wall/Flip/Twist		A laid out Wall Arabian.
859	Running Turn Gaet Pimp	Gaet Pimp	Turn Gaet Pimp	Beam/Flip		A run into a Turn Gaet set into Pimp Flip.
860	Dive Palm Inward Frisbee	Palm Inward Frisbee		Wall/Flip		A diving Palm Inward Frisbee.
861	Back Hip Circle		Back Hip Semi-Circle Gainer, Back Hip Semi-Circle Handstand	Bar/Flip		A straight legged cast away while holding onto the bar from front support position where after the cast, the hips return to the bar and travel around it in a circle returning the body to front support position.
862	Back Hip Semi-Circle Handstand	Back Hip Circle		Bar/Handstand	Clear Hip Circle Handstand	Back Hip Circle into Handstand.
863	Shoulder Mount		Shoulder Mount Gainer, Shoulder Mount Side	Bar		A pole dancing position where you hold onto a pole positioned behind your shoulder and lift both legs up to position the body parallel to the ground.
864	Roll Kip-up	Kip-up	Roll Kip-up Front, Roll Kip-up Half-In Back-Out, Roll Kip-up Handstand	Flip/Roll		A roll into Kip-up.
865	Kip-up		Roll Kip-up	Flip		While lying down with the back on the ground, roll backwards onto the shoulders, and reach back to place both on the ground such that the fingers point towards the head. Then kick up and forward, and then immediately snap both feet to the ground while simulanteously pushing off the ground with both hands to stand the body up.
866	Two-Step Wall Full-In Back-Out	Two-Step Wall Double Back		Wall/Flip/Twist		Two steps up a wall into a Full-In Back-Out. This was first attempted by Erik Mukhametshin in 2015.
867	One-Step Palm Double Back	One-Step Palm Flip		Wall/Flip		A double rotating One-Step Palm Flip.
868	Wall Wrap Full	Wall Flip		Wall/Flip/Twist		One step up a wall where the inside leg (non-stepping leg) bends and wraps behind the stepping leg set into a full twist).
869	Backward Seat Circle		Backward Seat Circle Gainer	Bar	L-sit Lache	A backward circle around a high bar in Seat position (gymnastics term)/ L-sit position.
870	Gainer Full-Down	Gainer	Full-Up Gainer Full-Down	Flip/Twist	Gainer Gyro	Gainer into a full twist after the flip.
871	Sole Circle		Straddle Sole Circle	Bar	Toe-On	A move where the performer holds onto a high bar with both hands while swinging around it backwards with both toes pressed against the bar.
872	One-Hand Palm Double Gainer	One-Hand Palm Gainer		Wall/Flip	Double Ginger Flip, Hi-Five Double Gainer	A double rotating One-Hand Palm Gainer.
873	Elbow One-Hand Palm Double Gainer	Elbow One-Hand Palm Gainer		Wall/Flip	Elbow Double Ginger Flip, Elbow Hi-Five Double Gainer	A double rotating Elbow One-Hand Palm Gainer. This was first landed by Alireza Japalaghy in 2016.
874	Swing Castaway Arabian Half	Swing Castaway Arabian		Bar/Flip/Twist		A half twisting Swing Castaway Arabian. This was first attempted by Shawn Bautista of Dodo Freerunning in 2016.
875	Swing Castaway Back Handcuffs	Swing Castaway Stall Back		Bar/Flip		Swing Castaway Stall Back with both hands behind the back as if in handcuffs during the stall. This was first attempted by Shawn Bautista of Dodo Freerunning in 2016.
876	Gargoyle 270 Palm Side	Palm Side		Wall/Flip/Twist		A three-quarter twist up into a Palm Side set from Gargoyle position. This was first attempted by Otto Vainio on 2016.
877	Flyaway Full-Down-In Back-Out	Flyaway Stall-Out	Flyaway Full-Down-In Full-Out	Bar/Flip/Twist		Flyaway Full-Down into a back tuck. This was first attempted by Alfred Scott of Dodo Freerunning in 2016.
878	Wall Gainer Full-Down	Wall Gainer		Wall/Flip/Twist		Wall Gainer into a full twist after the flip. This was first landed by Calen Chan in 2015.
879	Angel Drop Punch Wall Flip	Angel Drop		Wall/Flip		An Angel Drop set into a Punch Wall Flip. This was first landed by Jesse Peveril in 2016.
880	Double Leg Circle Castaway Full	Double Leg Circle Castaway		Pommel Horse/Flip/Twist		Double Leg Circle into a Castaway Full. This was first landed by Erik Mukhametshin in 2016.
881	Double Leg Circle Front	Double Leg Circle	Double Leg Circle Front Half-Down	Pommel Horse/Flip		Double Leg Circle into front tuck. This was first landed by Erik Erik Mukhametshin in 2016.
882	Double Leg Circle Front Half-Down	Double Leg Circle Front		Pommel Horse/Flip/Twist		Double Leg Circle Front into a half twist after the flip.
883	Kong Trapdoor Wall Flip	Kong Vault, Trapdoor Wall Flip		Vault/Wall/Flip	Cat Pass Trapdoor Wall Flip	Kong Vault set into a Trapdoor Wall Flip. This was first attempted by Erovikov Vladislav in 2016.
884	Lazy Bomb	Lazy Roll		Vault/Flip		Lazy Vault into a front tuck.
885	360 Dive Front Unwind Half	360 Dive Front Flip		Flip/Twist	360 Dive Front Un-Half	A 360 Dive Front with a half twist in one direction followed by a half twist in the opposite direction. This was first landed by Kirya Kolesnikov in 2015.
886	Running Gainer Down Monkey	Running Gainer		Wall/Flip		Running Gainer set off a ledge into a Down Monkey. This was first landed by Alfred Scott of Dodo Freerunning in 2013.
887	Aerial Twist-In Back-Out	Aerial Twist		Flip/Twist	A-twist-in	An Aerial Twist into a back tuck.
888	Wall Roll Half	Wall Roll	One-Step Wall Roll Half	Wall/Roll/Twist		A half-twisting Wall Roll.
889	Flyaway Full-Down-In Full-Out	Flyaway Full-Down-In Back-Out		Bar/Flip/Twist		Flyaway Full-Down-In Back-Out with a full twist during the second rotation. This was first attempted by Colton Pearson in 2016.
890	Palm Spin Gaet Pimp Full	Palm Spin Gaet Pimp		Beam/Flip/Twist		A full twisting Palm Spin Gaet Pimp. This was first attempted by Alfred Scott of Dodo Freerunning in 2016.
891	Gainer Quadruple Full	Gainer Triple Full		Flip/Twist	Gainer 1440	A quadruple twisting Gainer.
892	Dive Castaway Back	Castaway Back		Flip	Dive Palm Drop	A dive set into Castaway Back.
893	Full-Up Gainer Full-Down	Full-Up Gainer, Gainer Full-Down		Flip/Twist	Full-Up Full-Down Gainer, Vortex Gainer Gyro,	Full-Up Gainer into a full twist after the flip. This was first landed by Calen Chan in 2016.
894	Inward Double Tunnel	Inward Tunnel Flip		Flip		A double rotating Inward Tunnel Flip.
895	Flyaway Arabian Unwind Half	Flyaway Arabian Half		Bar/Flip/Twist	Flyaway Arabian Un-Half	Flyaway Arabian followed by a half twist in the opposite direction.
896	Gaet Pimp Full-In Back-Out	Gaet Pimp Full	Double Gaet Pimp, Gaet Pimp Full	Beam/Flip/Twist		Gaët Pimp Full into a back tuck. This was first attempted by Adry Cemel in 2016.
897	Dive Twisting Trapdoor Down Monkey	Down Monkey		Wall/Flip/Twist		A dive twist set over a gap into a Down Monkey.
898	Knee Giant Pimp Flip	Knee Giant		Bar/Flip	Penny Drop Pimp Flip	Knee Giant set into Pimp Flip off a high bar. This was first landed by Ivan Kiselev in 2016.
899	Flyaway Full-In Double Full-Out	Flyaway Full-In Full-Out		Bar/Flip/Twist	Swing Gainer Full-In Double Full-Out	Flyaway Full-In Full-Out with two twists during the second rotation.
900	Kip Gainer		Kip Gainer Full	Bar/Flip		A bar Kip set into Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
901	Kip Gainer Full	Kip Gainer		Bar/Flip		A full twisting Kip Gainer. This was first attempted by Alfred Scott of Dodo Freerunning in 2015.
902	Wall Corkscrew Double Leg	Wall Corkscrew		Wall/Flip/Twist		Wall Corkscrew into a Double Leg.
